-------------------------------------------------- Round 0 -------------------------------------------------- 
Efficient Network
Node 0: 592.7253880596961
Node 1: 592.5899195155137
Node 2: 592.6009630252795
Node 3: 592.7343137588962
Node 4: 592.5899195155137
Node 5: 592.6576276484923
Node 6: 592.7017991359075
Node 7: 592.7305352694968
Node 8: 592.662224714567
Node 9: 592.785767262566
Node 10: 592.6864479609005
Node 11: 592.5899195155137
Node 12: 592.6834280226749
Node 13: 592.6258154109444
Node 14: 592.6675174456959
Node 15: 592.7126596776868
Node 16: 592.726493063212
Node 17: 592.6596496859893
Node 18: 592.5899195155137
Node 19: 592.80394853903
Inefficient Network
Node 0: 592.6961687676194
Node 1: 592.707471521262
Node 2: 592.707471521262
Node 3: 592.707471521262
Node 4: 592.707471521262
Node 5: 592.707471521262
Node 6: 593.8504040215394
Node 7: 592.707471521262
Node 8: 593.9010982228344
Node 9: 593.8504040215394
Node 10: 592.6697688330632
Node 11: 592.707471521262
Node 12: 593.8504040215394
Node 13: 592.707471521262
Node 14: 593.8504040215394
Node 15: 592.707471521262
Node 16: 592.707471521262
Node 17: 592.7254631183832
Node 18: 592.7254631183832
Node 19: 592.7254631183832
-------------------------------------------------- Round 1 -------------------------------------------------- 
Efficient Network
Node 0: 591.9938481554307
Node 1: 591.9694590119968
Node 2: 591.9457414410174
Node 3: 591.9728662311313
Node 4: 591.9194336190142
Node 5: 591.9921857504964
Node 6: 591.9382740237902
Node 7: 591.9921857504964
Node 8: 592.0063238139126
Node 9: 591.9383207440569
Node 10: 592.0235606122103
Node 11: 591.9921857504964
Node 12: 591.9737856396564
Node 13: 591.9889290482513
Node 14: 591.9574372596283
Node 15: 592.0507899004701
Node 16: 591.9833909586264
Node 17: 591.9194336190142
Node 18: 591.9694590119968
Node 19: 591.97608598638
Inefficient Network
Node 0: 592.6697688330632
Node 1: 592.0088802932519
Node 2: 592.0088802932519
Node 3: 592.0088802932519
Node 4: 592.707471521262
Node 5: 592.0088802932519
Node 6: 592.6770088202527
Node 7: 592.0088802932519
Node 8: 592.6697688330632
Node 9: 592.6697688330632
Node 10: 592.0088802932519
Node 11: 592.0088802932519
Node 12: 592.0088802932519
Node 13: 592.0088802932519
Node 14: 592.0088802932519
Node 15: 592.0088802932519
Node 16: 592.0088802932519
Node 17: 592.0232632403347
Node 18: 592.0232626158474
Node 19: 592.0088802932519
-------------------------------------------------- Round 2 -------------------------------------------------- 
Efficient Network
Node 0: 591.7859225271823
Node 1: 591.6122936728609
Node 2: 591.7474781622543
Node 3: 591.7619888817742
Node 4: 591.537479044413
Node 5: 591.792279687676
Node 6: 591.7267948829603
Node 7: 591.6252694802317
Node 8: 591.8074650904209
Node 9: 591.7176324697541
Node 10: 591.8239530894293
Node 11: 591.4915022094958
