-------------------------------------------------- Round 0 -------------------------------------------------- 
Efficient Network
Node 0: 597436.8888988823
Node 1: 597435.8500132085
Node 2: 597435.7425780736
Node 3: 597436.7113111553
Node 4: 597435.4145292825
Node 5: 597436.5216776212
Node 6: 597436.1750478186
Node 7: 597436.5185401791
Node 8: 597436.4329584059
Node 9: 597435.4145292825
Node 10: 597435.998459313
Node 11: 597435.4145292825
Node 12: 597435.9268195715
Node 13: 597435.4145292825
Node 14: 597436.3584546432
Node 15: 597436.2820873186
Node 16: 597435.735316416
Node 17: 597437.1311533464
Node 18: 597435.4261121843
Node 19: 597436.1749431897
Inefficient Network
Node 0: 597435.9516970142
Node 1: 597775.9702193415
Node 2: 597775.9702193415
Node 3: 597436.5547582441
Node 4: 597775.9702193415
Node 5: 597435.9516970142
Node 6: 597775.9702193415
Node 7: 597435.9516970142
Node 8: 597776.5455347403
Node 9: 597435.9516970142
Node 10: 597435.9516970142
Node 11: 597436.9979598821
Node 12: 597776.590642237
Node 13: 597436.9979598821
Node 14: 597436.1678327837
Node 15: 597775.9702193415
Node 16: 597775.9702193415
Node 17: 597776.4198800635
Node 18: 597776.4198800635
Node 19: 597775.9702193415
-------------------------------------------------- Round 1 -------------------------------------------------- 
Efficient Network
Node 0: 597391.1567668251
Node 1: 597390.2366474989
Node 2: 597390.2872447211
Node 3: 597333.595890153
Node 4: 597390.0943490579
Node 5: 597390.615566063
Node 6: 597390.7510716731
Node 7: 597390.9164144406
Node 8: 597390.618373571
Node 9: 597361.3063239553
Node 10: 597333.595890153
Node 11: 597333.595890153
Node 12: 597390.34462794
Node 13: 597435.4145292825
Node 14: 597390.7422794551
Node 15: 597390.5893450644
Node 16: 597390.6399292853
Node 17: 597391.4442385134
Node 18: 597333.595890153
Node 19: 597390.6450156257
Inefficient Network
Node 0: 597435.9516970142
Node 1: 597435.9516970142
Node 2: 597436.0567304444
Node 3: 597435.9516970142
Node 4: 597435.9516970142
Node 5: 597435.9516970142
Node 6: 597435.9516970142
Node 7: 597435.9516970142
Node 8: 597435.9516970142
Node 9: 597435.9516970142
Node 10: 597435.9516970142
Node 11: 597435.9516970142
Node 12: 597435.9516970142
Node 13: 597435.9516970142
Node 14: 597436.1678327837
Node 15: 597436.1678327837
Node 16: 597435.9516970142
Node 17: 597435.9516970142
Node 18: 597435.9516970142
Node 19: 597435.9516970142
-------------------------------------------------- Round 2 -------------------------------------------------- 
Efficient Network
Node 0: 597333.595890153
Node 1: 597359.9383413966
Node 2: 597360.133188771
Node 3: 597287.6928481085
Node 4: 597273.53182644
Node 5: 597273.53182644
Node 6: 597360.5299303443
Node 7: 597273.53182644
Node 8: 597360.2869617091
Node 9: 597260.4124688004
Node 10: 597238.2418184758
Node 11: 597273.53182644
Node 12: 597360.2149356683
Node 13: 597247.5593316735
Node 14: 597360.425975483
Node 15: 597273.53182644
Node 16: 597360.6744934338
Node 17: 597361.3470254102
Node 18: 597308.8125569851
Node 19: 597247.5593316735
Inefficient Network
Node 0: 597390.4833163468
Node 1: 597390.4833163468
Node 2: 597390.4833163468
Node 3: 597390.4833163468
Node 4: 597390.4833163468
Node 5: 597435.9516970142
Node 6: 597435.9516970142
Node 7: 597435.9516970142
Node 8: 597435.9516970142
Node 9: 597390.4833163468
Node 10: 597435.9516970142
Node 11: 597435.9516970142
Node 12: 597435.9516970142
Node 13: 597390.4833163468
Node 14: 597435.9516970142
Node 15: 597390.4833163468
Node 16: 597435.9516970142
Node 17: 597390.4833163468
Node 18: 597435.9516970142
Node 19: 597390.4833163468
-------------------------------------------------- Round 3 -------------------------------------------------- 
Efficient Network
Node 0: 597211.4904620226
Node 1: 597331.22087176
Node 2: 597331.5294289704
Node 3: 597232.7850537441
Node 4: 597215.5621920939
Node 5: 597220.8265169743
Node 6: 597331.8260369649
Node 7: 597203.461346268
Node 8: 597331.7883489036
Node 9: 597208.0195681758
Node 10: 597195.1675723323
Node 11: 597187.7339352912
Node 12: 597190.5588142504
Node 13: 597226.0270648014
Node 14: 597331.8274930255
Node 15: 597232.7850537441
Node 16: 597331.8678095621
Node 17: 597332.4984488918
Node 18: 597199.7778875672
Node 19: 597190.5588142504
Inefficient Network
Node 0: 597390.4833163468
Node 1: 597286.1813724048
Node 2: 597390.4833163468
Node 3: 597306.5618137
Node 4: 597390.4833163468
Node 5: 597286.1813724048
Node 6: 597272.2869934345
Node 7: 597272.2869934345
Node 8: 597272.2869934345
Node 9: 597360.2916435605
Node 10: 597272.2869934345
Node 11: 597331.8879916844
Node 12: 597331.8879916844
Node 13: 597306.5618137
Node 14: 597331.8879916844
Node 15: 597390.4833163468
Node 16: 597286.1813724048
Node 17: 597306.5618137
Node 18: 597306.5618137
Node 19: 597390.4833163468
-------------------------------------------------- Round 4 -------------------------------------------------- 
Efficient Network
Node 0: 597185.1018550632
Node 1: 597305.6591812988
Node 2: 597182.5652528568
Node 3: 597182.5652528568
Node 4: 597172.8700066616
Node 5: 597187.7339352912
Node 6: 597306.2798304914
Node 7: 597178.1905651262
Node 8: 597306.2830052791
Node 9: 597170.6854237217
Node 10: 597169.0511506557
Node 11: 597174.7138687499
Node 12: 597167.6488044566
Node 13: 597176.3353558177
Node 14: 597306.2868563787
Node 15: 597166.8309786011
Node 16: 597306.3957265213
Node 17: 597307.0382344779
Node 18: 597185.1018550632
Node 19: 597176.3353558177
Inefficient Network
Node 0: 597226.3459864152
Node 1: 597226.3459864152
Node 2: 597211.7358246084
Node 3: 597226.3459864152
Node 4: 597247.7573024038
Node 5: 597216.2296372958
Node 6: 597211.7358246084
Node 7: 597238.5013998124
Node 8: 597226.3459864152
Node 9: 597211.7358246084
Node 10: 597231.9347177392
Node 11: 597247.7573024038
Node 12: 597247.7573024038
Node 13: 597238.5013998124
Node 14: 597260.0413693237
Node 15: 597226.3459864152
Node 16: 597231.9347177392
Node 17: 597220.9587459255
Node 18: 597216.2296372958
Node 19: 597226.3459864152
-------------------------------------------------- Round 5 -------------------------------------------------- 
Efficient Network
Node 0: 597163.0724019146
Node 1: 597285.3477103076
Node 2: 597157.0282442973
Node 3: 597161.8922440431
Node 4: 597159.257652615
Node 5: 597158.3320175315
Node 6: 597285.821722256
Node 7: 597164.3054292912
Node 8: 597158.3320175315
Node 9: 597161.042737753
Node 10: 597161.8922440431
Node 11: 597163.0724019146
Node 12: 597158.3320175315
Node 13: 597155.0788093993
Node 14: 597285.6786571066
Node 15: 597156.2207747517
Node 16: 597285.6874175693
Node 17: 597286.3483437038
Node 18: 597159.257652615
Node 19: 597165.6710723931
Inefficient Network
Node 0: 597211.7358246084
Node 1: 597206.1632629246
Node 2: 597201.1732643964
Node 3: 597211.7358246084
Node 4: 597197.2150127988
Node 5: 597211.7358246084
Node 6: 597193.552568728
Node 7: 597201.1732643964
Node 8: 597206.1632629246
Node 9: 597201.1732643964
Node 10: 597206.1632629246
Node 11: 597211.7358246084
Node 12: 597193.552568728
Node 13: 597189.6029719244
Node 14: 597187.1368540102
Node 15: 597189.6029719244
Node 16: 597206.1632629246
Node 17: 597211.7358246084
Node 18: 597211.7358246084
Node 19: 597201.1732643964
-------------------------------------------------- Round 6 -------------------------------------------------- 
Efficient Network
Node 0: 597154.3287877984
Node 1: 597270.7517694113
Node 2: 597150.9421713325
Node 3: 597151.5191102063
Node 4: 597147.9898363682
Node 5: 597148.4812726313
Node 6: 597271.3843838733
Node 7: 597147.5006483388
Node 8: 597149.6297599457
Node 9: 597153.6149481942
Node 10: 597152.1742689046
Node 11: 597150.9421713325
Node 12: 597149.057788503
Node 13: 597150.9421713325
Node 14: 597271.0547366554
Node 15: 597155.0788093993
Node 16: 597271.3094404232
Node 17: 597272.0370806768
Node 18: 597150.9421713325
Node 19: 597149.6297599457
Inefficient Network
Node 0: 597187.1368540102
Node 1: 597183.1604732395
Node 2: 597187.1368540102
