-------------------------------------------------- Round 0 -------------------------------------------------- 
Efficient Network
Node 0: 4702.059237804992
Node 1: 4585.209514583046
Node 2: 4735.43256667635
Node 3: 4776.509805239864
Node 4: 4661.115667496128
Node 5: 4597.3759204259795
Node 6: 4597.3759204259795
Node 7: 4784.532397664067
Node 8: 4693.855581216578
Node 9: 4731.44309948362
Node 10: 4641.3100274974695
Node 11: 4622.473126172079
Node 12: 4693.934907179908
Node 13: 4585.209514583046
Node 14: 4585.209514583046
Node 15: 4719.9176739475315
Node 16: 4597.3759204259795
Node 17: 4695.083187578016
Node 18: 4647.0791052611885
Node 19: 4692.604584725469
Inefficient Network
Node 0: 4660.094977243633
Node 1: 4660.094977243633
Node 2: 4655.169973853342
Node 3: 4660.094977243633
Node 4: 4811.240077624124
Node 5: 4655.169973853342
Node 6: 4655.169973853342
Node 7: 4838.4701660768715
Node 8: 4655.169973853342
Node 9: 4655.169973853342
Node 10: 4655.169973853342
Node 11: 4655.169973853342
Node 12: 4697.572703550211
Node 13: 4660.094977243633
Node 14: 4682.1834530829965
Node 15: 4682.1834530829965
Node 16: 4806.272651105528
Node 17: 4682.1834530829965
Node 18: 4730.002270101426
Node 19: 4661.386896640239
-------------------------------------------------- Round 1 -------------------------------------------------- 
Efficient Network
Node 0: 4669.2176705547745
Node 1: 4548.527231892943
Node 2: 4616.067662223626
Node 3: 4698.353394268577
Node 4: 4582.428901958061
Node 5: 4531.091727841107
Node 6: 4532.622130435721
Node 7: 4683.879062903536
Node 8: 4634.549061287675
Node 9: 4655.807892744952
Node 10: 4604.331143691673
Node 11: 4531.091727841107
Node 12: 4566.958744378566
Node 13: 4566.958744378566
Node 14: 4556.065885969206
Node 15: 4657.527723924642
Node 16: 4550.046649957068
Node 17: 4605.348140690641
Node 18: 4604.062456094617
Node 19: 4616.5034633363975
Inefficient Network
Node 0: 4655.169973853342
Node 1: 4655.169973853342
Node 2: 4655.169973853342
Node 3: 4655.169973853342
Node 4: 4655.169973853342
Node 5: 4655.169973853342
Node 6: 4655.169973853342
Node 7: 4655.169973853342
Node 8: 4625.674989938211
Node 9: 4625.674989938211
Node 10: 4625.674989938211
Node 11: 4625.674989938211
Node 12: 4625.674989938211
Node 13: 4608.409964338011
Node 14: 4625.674989938211
Node 15: 4625.674989938211
Node 16: 4625.674989938211
Node 17: 4661.386896640239
Node 18: 4661.386896640239
Node 19: 4625.674989938211
-------------------------------------------------- Round 2 -------------------------------------------------- 
Efficient Network
Node 0: 4623.6021067381525
Node 1: 4531.218727415099
Node 2: 4557.696668529833
Node 3: 4601.469390149328
Node 4: 4550.518492408981
Node 5: 4524.785713713057
Node 6: 4522.368831092269
Node 7: 4599.516977078055
Node 8: 4599.069372858661
Node 9: 4624.374326622858
Node 10: 4552.817602200389
Node 11: 4523.804674392097
Node 12: 4535.305337379939
Node 13: 4530.425575905696
Node 14: 4528.632368219796
Node 15: 4636.73112284411
Node 16: 4523.346819755572
Node 17: 4578.219269082497
Node 18: 4573.798014336398
Node 19: 4582.021198438423
Inefficient Network
Node 0: 4546.885877889141
Node 1: 4546.885877889141
Node 2: 4546.885877889141
Node 3: 4575.525275488516
Node 4: 4546.885877889141
Node 5: 4546.885877889141
Node 6: 4546.885877889141
Node 7: 4546.885877889141
Node 8: 4584.398068735801
Node 9: 4584.398068735801
Node 10: 4584.398068735801
Node 11: 4595.208427969812
Node 12: 4546.885877889141
Node 13: 4546.885877889141
Node 14: 4595.208427969812
Node 15: 4546.885877889141
Node 16: 4595.208427969812
Node 17: 4607.863865566382
Node 18: 4584.398068735801
Node 19: 4546.885877889141
-------------------------------------------------- Round 3 -------------------------------------------------- 
Efficient Network
Node 0: 4564.659242285894
Node 1: 4527.147355459976
Node 2: 4548.744764378715
Node 3: 4586.239477517435
Node 4: 4536.477470332955
Node 5: 4521.569518358683
Node 6: 4519.644760752194
Node 7: 4570.122824213345
Node 8: 4555.038393932849
Node 9: 4589.105502954196
Node 10: 4532.714712690765
Node 11: 4519.282418440948
Node 12: 4526.773818439811
Node 13: 4527.949398620578
Node 14: 4520.79866522097
Node 15: 4618.490336285072
Node 16: 4520.79866522097
Node 17: 4563.551132849861
Node 18: 4520.79866522097
Node 19: 4570.786398572293
Inefficient Network
Node 0: 4537.94305379879
Node 1: 4537.94305379879
Node 2: 4537.94305379879
Node 3: 4537.94305379879
Node 4: 4537.94305379879
Node 5: 4537.94305379879
Node 6: 4537.94305379879
Node 7: 4546.885877889141
Node 8: 4537.94305379879
Node 9: 4537.94305379879
Node 10: 4537.94305379879
Node 11: 4537.94305379879
Node 12: 4537.94305379879
Node 13: 4537.94305379879
Node 14: 4537.94305379879
Node 15: 4537.94305379879
Node 16: 4537.94305379879
Node 17: 4566.053531315358
Node 18: 4537.94305379879
Node 19: 4537.94305379879
-------------------------------------------------- Round 4 -------------------------------------------------- 
Efficient Network
Node 0: 4552.968375608307
Node 1: 4525.979110956976
Node 2: 4538.201932010942
Node 3: 4577.116215864041
Node 4: 4526.31111141758
Node 5: 4517.463543486424
Node 6: 4517.866493092225
Node 7: 4518.394709871164
Node 8: 4539.625970477329
Node 9: 4516.866393720365
Node 10: 4521.490887296926
Node 11: 4516.866393720365
Node 12: 4524.666072460979
Node 13: 4524.302191706754
Node 14: 4516.545811352114
Node 15: 4590.972222776759
Node 16: 4518.394709871164
Node 17: 4554.404413141461
Node 18: 4517.033453175985
Node 19: 4559.724443921153
Inefficient Network
Node 0: 4537.94305379879
Node 1: 4537.94305379879
Node 2: 4537.94305379879
Node 3: 4537.94305379879
Node 4: 4537.94305379879
Node 5: 4537.94305379879
Node 6: 4537.94305379879
Node 7: 4529.6628264670335
Node 8: 4537.94305379879
Node 9: 4537.94305379879
Node 10: 4537.94305379879
Node 11: 4537.94305379879
Node 12: 4537.94305379879
Node 13: 4537.94305379879
Node 14: 4529.6628264670335
Node 15: 4537.94305379879
Node 16: 4537.94305379879
Node 17: 4537.94305379879
Node 18: 4537.94305379879
Node 19: 4533.761807655215
-------------------------------------------------- Round 5 -------------------------------------------------- 
Efficient Network
Node 0: 4516.545811352114
Node 1: 4523.954019159466
Node 2: 4529.187903041758
Node 3: 4571.247933895657
Node 4: 4520.477579881968
Node 5: 4516.545811352114
Node 6: 4516.208765293819
Node 7: 4516.206746142312
Node 8: 4516.545811352114
Node 9: 4516.257912254081
Node 10: 4518.471202777283
Node 11: 4516.35312967587
Node 12: 4523.063679363959
Node 13: 4523.596254041781
Node 14: 4516.247516556258
Node 15: 4574.744972844581
Node 16: 4516.247305943994
Node 17: 4544.784101231682
Node 18: 4516.167554933658
Node 19: 4551.728333687691
Inefficient Network
Node 0: 4527.975285136746
Node 1: 4527.975285136746
Node 2: 4527.975285136746
Node 3: 4527.975285136746
Node 4: 4537.94305379879
Node 5: 4527.975285136746
Node 6: 4527.975285136746
Node 7: 4529.6628264670335
Node 8: 4537.94305379879
Node 9: 4537.94305379879
Node 10: 4537.94305379879
Node 11: 4527.975285136746
Node 12: 4527.975285136746
Node 13: 4527.975285136746
Node 14: 4527.975285136746
Node 15: 4529.6628264670335
Node 16: 4527.975285136746
Node 17: 4529.6628264670335
Node 18: 4529.6628264670335
Node 19: 4533.761807655215
-------------------------------------------------- Round 6 -------------------------------------------------- 
Efficient Network
Node 0: 4515.623888131682
Node 1: 4522.730348022473
Node 2: 4522.531931275454
Node 3: 4558.822234267642
Node 4: 4518.374210637575
Node 5: 4516.032939720739
Node 6: 4515.645821748927
Node 7: 4515.67715147155
Node 8: 4515.83451461537
Node 9: 4515.611514354365
Node 10: 4518.043234550338
Node 11: 4515.83451461537
Node 12: 4522.921481032047
Node 13: 4522.878573680237
Node 14: 4515.761668132062
Node 15: 4559.967432950448
Node 16: 4516.067315731489
Node 17: 4515.611514354365
Node 18: 4515.715318845128
Node 19: 4544.048010281044
Inefficient Network
Node 0: 4527.975285136746
Node 1: 4527.975285136746
Node 2: 4527.975285136746
Node 3: 4527.975285136746
Node 4: 4527.975285136746
Node 5: 4525.2228368024535
Node 6: 4527.975285136746
Node 7: 4522.520799652196
Node 8: 4537.94305379879
Node 9: 4521.086444496331
Node 10: 4520.335193815823
Node 11: 4527.975285136746
Node 12: 4523.340997787809
Node 13: 4521.086444496331
Node 14: 4527.975285136746
Node 15: 4518.9509140419
Node 16: 4527.975285136746
Node 17: 4521.086444496331
Node 18: 4527.975285136746
Node 19: 4527.975285136746
-------------------------------------------------- Round 7 -------------------------------------------------- 
Efficient Network
Node 0: 4515.532836774708
Node 1: 4522.3147127560005
Node 2: 4521.115304564222
Node 3: 4551.789908500685
Node 4: 4517.592683422201
Node 5: 4515.574708207804
Node 6: 4515.608472896277
Node 7: 4515.5327149667355
Node 8: 4515.478245794205
Node 9: 4515.47344598251
Node 10: 4517.5790607635945
Node 11: 4515.453468212692
Node 12: 4521.824207869948
Node 13: 4522.068608959576
Node 14: 4515.53001850629
Node 15: 4515.4491957147475
Node 16: 4515.4491957147475
Node 17: 4515.475392663378
Node 18: 4515.608831277682
Node 19: 4539.099290455349
Inefficient Network
Node 0: 4518.161200561855
Node 1: 4518.084257468668
Node 2: 4518.084257468668
Node 3: 4518.788149182794
Node 4: 4518.161200561855
Node 5: 4518.084257468668
Node 6: 4518.161200561855
Node 7: 4518.161200561855
Node 8: 4518.322310240263
Node 9: 4518.315474951731
Node 10: 4518.084257468668
Node 11: 4518.084257468668
Node 12: 4518.158539088437
Node 13: 4518.322310240263
Node 14: 4518.161200561855
Node 15: 4518.788149182794
Node 16: 4518.322310240263
Node 17: 4518.788149182794
Node 18: 4518.161200561855
Node 19: 4518.322310240263
-------------------------------------------------- Round 8 -------------------------------------------------- 
Efficient Network
Node 0: 4515.426158122326
Node 1: 4515.435349379924
Node 2: 4519.5958692403765
Node 3: 4543.739183647854
Node 4: 4517.012123706022
Node 5: 4515.426158122326
Node 6: 4515.446532846024
Node 7: 4515.426158122326
Node 8: 4515.412603039464
Node 9: 4515.43403113573
Node 10: 4517.336128243829
Node 11: 4515.43403113573
Node 12: 4515.44073901745
Node 13: 4515.426158122326
Node 14: 4515.407610614423
Node 15: 4515.44073901745
Node 16: 4515.43403113573
Node 17: 4515.435349379924
Node 18: 4515.416832914603
Node 19: 4536.9091611814665
Inefficient Network
Node 0: 4517.669863863096
Node 1: 4517.669863863096
Node 2: 4517.547583369758
Node 3: 4517.669863863096
Node 4: 4517.825908973897
Node 5: 4517.547583369758
Node 6: 4517.825908973897
Node 7: 4517.547583369758
Node 8: 4517.24609006591
Node 9: 4517.669863863096
Node 10: 4517.377555302904
Node 11: 4517.24609006591
Node 12: 4517.669863863096
Node 13: 4517.669863863096
Node 14: 4517.669863863096
Node 15: 4517.594193913011
Node 16: 4517.825908973897
Node 17: 4517.825908973897
Node 18: 4518.161200561855
Node 19: 4517.594193913011
-------------------------------------------------- Round 9 -------------------------------------------------- 
Efficient Network
Node 0: 4515.40104715948
Node 1: 4515.404477493134
Node 2: 4517.595095522492
Node 3: 4538.661891133672
Node 4: 4516.562338979071
Node 5: 4515.407699546587
Node 6: 4515.402894658004
Node 7: 4515.4028078497995
Node 8: 4515.405477774975
Node 9: 4515.408037746023
Node 10: 4517.072395388586
Node 11: 4515.407819923633
Node 12: 4515.401547872444
Node 13: 4515.401005563947
Node 14: 4515.404477493134
Node 15: 4515.4010788566475
Node 16: 4515.401032826146
Node 17: 4515.407699546587
Node 18: 4515.401129730913
Node 19: 4532.6216445682485
Inefficient Network
Node 0: 4517.006748863027
Node 1: 4516.858227839229
Node 2: 4517.1216766461675
Node 3: 4517.006748863027
Node 4: 4517.006748863027
Node 5: 4517.006748863027
Node 6: 4517.006748863027
Node 7: 4516.858227839229
Node 8: 4517.24609006591
Node 9: 4517.006748863027
Node 10: 4517.006748863027
Node 11: 4516.858227839229
Node 12: 4517.006748863027
Node 13: 4516.932921946725
Node 14: 4516.858227839229
Node 15: 4516.858227839229
Node 16: 4516.858227839229
Node 17: 4517.006748863027
Node 18: 4516.858227839229
Node 19: 4516.932921946725
-------------------------------------------------- Round 10 -------------------------------------------------- 
Efficient Network
Node 0: 4515.40104715948
Node 1: 4515.404242692611
Node 2: 4517.299795925355
Node 3: 4535.641436450474
Node 4: 4516.434724792322
Node 5: 4515.404242692611
Node 6: 4515.400993197609
Node 7: 4515.401193730402
Node 8: 4515.405477774975
