-------------------------------------------------- Round 0 -------------------------------------------------- 
Efficient Network
Node 0: 14176.667139435542
Node 1: 14281.758525098463
Node 2: 14562.956774107146
Node 3: 15020.078776396236
Node 4: 14366.447484750177
Node 5: 14176.667139435542
Node 6: 14395.039555112488
Node 7: 14329.43543399579
Node 8: 14352.564508899943
Node 9: 14527.401367287572
Node 10: 14647.181308665546
Node 11: 14428.786678152903
Node 12: 14284.219277056814
Node 13: 14233.57542994135
Node 14: 14552.32150349076
Node 15: 15032.76349571511
Node 16: 15136.00394661475
Node 17: 14303.353769447025
Node 18: 14581.205970414187
Node 19: 15017.073843660037
Inefficient Network
Node 0: 14508.064455308007
Node 1: 14508.064455308007
Node 2: 14508.064455308007
Node 3: 14508.064455308007
Node 4: 14508.064455308007
Node 5: 14508.064455308007
Node 6: 14508.064455308007
Node 7: 14792.936240424468
Node 8: 14508.064455308007
Node 9: 14653.340590111506
Node 10: 14653.340590111506
Node 11: 14653.340590111506
Node 12: 14925.166509546514
Node 13: 14925.166509546514
Node 14: 14925.166509546514
Node 15: 14978.742143418376
Node 16: 14508.064455308007
Node 17: 14859.981240721196
Node 18: 15120.610280853745
Node 19: 14508.064455308007
-------------------------------------------------- Round 1 -------------------------------------------------- 
Efficient Network
Node 0: 14104.836041345001
Node 1: 14202.585970904162
Node 2: 14339.095322163612
Node 3: 14674.32394767212
Node 4: 14104.836041345001
Node 5: 14058.855701610326
Node 6: 14230.38038060284
Node 7: 14184.749451487749
Node 8: 14258.370443140304
Node 9: 14345.083077406864
Node 10: 14472.699492469716
Node 11: 14215.892979500326
Node 12: 14178.157133914001
Node 13: 14184.527289442083
Node 14: 14343.295505269321
Node 15: 14667.062376890932
Node 16: 14687.138783594371
Node 17: 14214.264044861926
Node 18: 14332.228084765376
Node 19: 14828.960882793346
Inefficient Network
Node 0: 14189.771089732269
Node 1: 14204.03476493815
Node 2: 14195.874373727282
Node 3: 14195.874373727282
Node 4: 14187.614571813923
Node 5: 14328.393162406419
Node 6: 14187.614571813923
Node 7: 14566.764075559977
Node 8: 14195.874373727282
Node 9: 14204.03476493815
Node 10: 14508.064455308007
Node 11: 14195.874373727282
Node 12: 14189.771089732269
Node 13: 14189.771089732269
Node 14: 14187.614571813923
Node 15: 14540.079493331505
Node 16: 14189.771089732269
Node 17: 14204.03476493815
Node 18: 14740.663569996399
Node 19: 14204.03476493815
